EntityId,Name,Type,AlsoKnownAs,WDId,WDUrl,WDDescription,WDSource
RMIrqWiW4,Mboniso Sigonyela,PERSON,,,,,
BNNrPCOOo,Arms Deal,EVENT,,,,,
LPOuhbJXR,Presidential Medical Unit,ORG,,,,,
G9O5nOUzX,South African Military Health Service,ORG,{'SAMHS'},Q3480384,https://www.wikidata.org/entity/Q3480384,South African military branch,OpenTapioca
d6Mz0JDpA,Deneshree Naicker,PERSON,,,,,
AEqxkeB3l,State advocate,POSITION,,,,,
IEs2DXl7D,Kenneth Mthombeni,PERSON,,,,,
fwuf2aq2s,Regional Commissioner of Correctional Services,POSITION,,,,,
6JFD7y1Bj,2014 asbestos audit tender,EVENT,,,,,
4fXNczl40,Zwane's department,ORG,,,,,
3DPugpBGM,provincial government,ORG,,,,,
my5MFf1xf,legacy report,LAW,,,,,
1iD3Zut8V,Ramaphosa meeting Zondo over state capture report 'completely inappropriate',EVENT,,,,,
CdCIcaVbZ,Phala Phala,EVENT,,,,,
chMnYPJJj,President Ramaphosa,POSITION,,,,,
7SVT1HAR3,national chairperson,POSITION,,,,,
zwFYsdtgE,state security director-general,POSITION,,,,,
kc0NL1lZH,PW Botha,PERSON,{'Pieter Willem Botha'},Q17476749,https://www.wikidata.org/entity/Q17476749,South African rugby union footballer,PyWikibot
Qf42Isey5,apartheid prime minister,POSITION,,,,,
Gm7uzItbU,apartheid,GPE,,,,,
0ZVtDu6eS,democracy,GPE,,,,,
PZrOVDRJp,prosecuted,OCCUPATION,,,,,
MBa0TLmxR,Waterkloof landing saga,EVENT,,,,,
iFoAyGgSj,director-general of justice and constitutional development,POSITION,,,,,
mQ5esdarQ,JCPS,ORG,,,,,
LM4VE4ET1,Vrede,PERSON,,,,,
Afi4DvMA1,Sydney Mufam,PERSON,,,,,
BDpWF2RIy,Zuma's estranged wife,PERSON,,,,,
zXwSqdImJ,the commission,EVENT,,,,,
qLzWQZdVd,Moses Tshake,PERSON,,,,,
k17MQ0IMG,February 2013,DATE,,,,,
Qi0r7AqcO,Free State agriculture and rural development department,ORG,,,,,
BTd7P6via,National Prosecutions Service,ORG,,,,,
m8LZX6hdC,Treasury DG,POSITION,,,,,
54FHeQ7vN,Ian Whitley,PERSON,,,,,
bvr0I0kzA,Mr Van Rooyen,PERSON,,,,,
JZq8t76xD,executive management,ORG,,,,,
Tqf18IVUh,his very office,ORG,,,,,
RfFRWinRg,Bobat and Whitley,PERSON,,,,,
LwuNJmue7,ministerial handbook,OCCUPATION,,,,,
LX7nDg6Zu,Rodney De Kock,PERSON,,,,,
od94TNSo0,national prosecution services,ORG,,,,,
geRCjQTav,Mthunzi Mhanga,PERSON,,,,,
7ubwiW6nB,Bishop Zondo rape case,EVENT,,,,,
CW4mnK1a5,Richard Mkhabela,PERSON,,,,,
BlSZqQs1s,Bishop Zondo,PERSON,,,,,
qgL0NQboh,rape trial,EVENT,,,,,
wpLgcZwF8,Evaton,GPE,,,,,
InnIwvRqp,Ismail Momoniat,PERSON,,,,,
Z727dS1r1,Financial Intelligence Centre,ORG,{'FIC'},,,,
pKCO6dJKp,KwaZulu-Natal ANC,ORG,,,,,
DaLrOpg35,South African democracy,GPE,,,,,
33r8pEFFz,Glynnis Breyenbach,PERSON,,,,,
p4FnkJniE,Hansie Cronjé,PERSON,,,,,
uVqJlEGp9,cricket match-fixing saga,EVENT,,,,,
cSSE0yuwo,Sethlomamaru Dintwe,PERSON,,,,,
SAOJvSduP,the controversial family,FAMILY,,,,,
3RjNSuow7,Phillip Mokoena SC,PERSON,,,,,
Sgd3xQD8M,Ralph Mathekga,PERSON,,,,,
5pTZEyS57,separate case,EVENT,,,,,
TzaMETPOf,FS HOD,POSITION,,,,,
whKfBx2NI,Prevention of Organised Crime Act,OCCUPATION,,,,,
3afEObqy9,unions,PERSON,,,,,
OXp0yRzAF,labour,OCCUPATION,,,,,
SLW6IONvj,Zuma regime,GPE,,,,,
04MMfoQ0N,tariff wars with China,EVENT,,,,,
AR6ceJKjW,Donald Trump,PERSON,"{'Donald John Trump', 'Trump', 'Donald J Trump', 'President Donald J Trump', 'Individual 1', 'David Dennison', 'POTUS 45', 'Mr Trump', 'John Miller', 'John Barron', '@realDonaldTrump', 'President Donald J. Trump', 'DJT', 'President Donald Trump', 'President Trump', 'The Donald', 'Donald J. Trump', 'President Donald John Trump'}",Q22686,https://www.wikidata.org/entity/Q22686,president of the United States from 2017 to 2021,PyWikibot
rDFnulk9Z,Argentina,GPE,"{'ar', 'Republic of Argentina', 'Arjentina', '🇦🇷', 'AR', 'Argentine Republic', 'ARG'}",Q414,https://www.wikidata.org/entity/Q414,sovereign state in South America,PyWikibot
d50lXG8ha,Turkey,GPE,"{'Republic of Türkiye', 'Republic of Turkey', 'Türkiye', 'TUR', 'TR'}",Q43,https://www.wikidata.org/entity/Q43,transcontinental country straddling Western Asia and Southeastern Europe,PyWikibot
vMANerVbE,freedom of speech,INDUSTRY,,,,,
8Uio6TZ9O,Project Wave,EVENT,,,,,
sSkQr4eka,Sekunjalo Group,ORG,"{'Sekunjalo Investment Holdings (Pty) Ltd', 'Sekunjalo Investments', 'Sekunjalo'}",Q17079933,https://www.wikidata.org/entity/Q17079933,Investment Holdings,OpenTapioca
UJVLFfic1,ministers,POSITION,,,,,
A0jtMrhD6,first democratic elections,EVENT,,,,,
t60fC5X4D,"Rajesh ("" Tony "") Gupta",PERSON,,,,,
meSebBYRC,Zondo Inquiry,ORG,,,,,
DgujjFzqQ,commission chairperson,POSITION,,,,,
TiS3rMtaD,Leana Theron,PERSON,,,,,
oVDvE3R3t,President Cyril Ramaphosa,POSITION,,,,,
BMmloh8XK,Riaz Saloojee,PERSON,,,,,
IBfOrFd2O,Salojee,ORG,,,,,
7busWKJR8,Elizabeth Africa,PERSON,,,,,
2HsOG3Add,executive,OCCUPATION,,,,,
6L3a8YLRa,Nonyameko Mandindi,PERSON,,,,,
ISIF0rOaV,directors,POSITION,,,,,
8cq3MnGzb,Wales,GPE,"{'WLS', 'WAL', 'Cymru', 'Cambria'}",Q25,https://www.wikidata.org/entity/Q25,"country in north-west Europe, part of the United Kingdom",PyWikibot
wcoRCXGnx,Trillian Management Consulting,ORG,,,,,
VtxgNU5qx,North Gauteng High Court,ORG,,,,,
JmYJKHXSH,Trillian,PERSON,,,,,
TTM3JV7X4,R600m,EVENT,,,,,
xt5uRKowk,Wood and Trillian,ORG,,,,,
Wsxorq2P7,Companies Act,LAW,,,,,
xpSi23xIM,SARS,GPE,,,,,
mMFJavJcQ,whistleblower,OCCUPATION,,,,,
YXaFjGBv6,Atlantis Nissan,ORG,,,,,
RnDM6QOYq,Nissan Hardbody,PRODUCT,,,,,
